288.28,5545
289.36,4516
289.58,4767
290.13,5026
291.14,4918
291.72,5181
293.17,5584
293.86,6015
294.14,5791
293.1,4770
290.97,3539
289.38,2784
288.61,2361
287.16,1529
285.45,963
284.63,506
283.47,321
281.18,273
281.09,367
279.53,814
278.62,2718
278.23,5673
278.12,6511
282.48,5471
291.97,5097
293.23,4887
294.31,5337
295.17,5692
295.13,6137
293.66,4623
290.65,3591
288.19,2898
287.1,2637
286.25,1777
285.26,1015
284.55,598
283.47,369
283.17,312
282.04,367
281.69,835
281.32,2726
280.74,5689
280.57,6990
281.86,5985
284.98,5309
289.18,4603
291.55,4884
294.97,5104
296.38,5178
297.32,5501
298.17,5713
298.06,6292
297.67,6057
296.36,4907
293.85,3503
292.43,3037
291.77,2822
291.36,1992
291.12,1166
290.63,627
290.46,388
289.26,368
283.21,2489
282.24,5537
281.69,6628
280.57,5534
280.02,5403
280.11,4770
280.0,5217
280.53,5870
281.43,5967
281.78,6108
281.91,6128
281.73,6069
281.42,6169
280.87,5384
280.15,4063
279.78,3364
279.65,2971
279.22,2450
279.06,1832
278.81,1231
278.55,718
278.59,545
276.99,411
276.35,688
275.4,1352
275.17,2072
274.99,3342
275.09,4258
276.88,4861
278.04,5191
279.08,5669
280.12,5074
280.25,5025
280.0,5153
279.06,5024
278.91,4779
278.39,4362
278.16,3860
278.16,3160
277.93,2992
276.9,3202
276.34,1941
276.11,1233
275.73,323
275.65,312
275.51,627
275.05,1508
274.77,1539
274.77,2232
275.55,4568
276.24,4624
277.01,4529
277.43,5139
278.45,6640
279.27,6589
279.27,4429
279.44,4329
279.32,3833
279.27,4015
278.11,3382
276.79,2815
275.73,2110
274.88,1555
273.92,959
273.08,455
272.62,336
271.78,265
271.05,314
270.63,779
270.33,2571
269.61,5563
270.01,6676
271.23,5966
273.71,4832
276.77,4395
279.47,4411
279.84,4648
282.34,4602
282.94,5125
283.48,5502
284.33,5979
284.48,5663
284.23,4259
281.99,3069
279.81,2378
279.35,2030
278.9,1400
278.46,917
277.78,515
277.27,302
277.47,251
276.97,798
276.52,2678
276.6,5733
277.31,6449
278.38,5765
279.35,5599
281.37,4534
283.11,4691
284.08,5067
285.14,5030
286.35,5300
287.23,5777
288.53,6349
290.37,6127
290.13,4460
288.86,3418
287.36,2775
285.11,2306
283.46,1846
282.45,947
281.88,494
281.78,332
281.09,261
281.17,361
281.25,5875
281.25,6793
281.25,6793
280.1,6283
280.1,6283
279.61,5680
279.61,5680
279.67,4632
280.19,4887
282.09,5030
282.26,5067
282.05,5227
281.59,5610
281.23,6286
282.6,4775
282.6,3340
282.6,3013
282.6,2603
282.6,1910
282.6,1037
273.9,347
274.4,350
274.05,850
273.71,2791
272.66,5809
272.65,6798
272.52,6304
275.19,5291
275.34,4638
284.1,5557
284.1,5818
283.78,6272
283.52,5944
283.32,4949
282.06,3511
281.95,3039
281.81,2679
282.16,2094
282.53,1284
283.91,630
284.64,410
284.61,331
283.18,372
282.26,739
280.77,2561
278.53,5586
277.64,6992
277.9,5860
278.18,5230
279.29,4864
280.45,5146
280.95,5526
281.74,5383
281.84,5758
282.45,5889
282.2,6057
281.54,6028
280.21,5257
282.2,1897
272.58,1335
272.06,769
270.99,570
270.29,413
269.48,399
269.27,740
268.91,1420
268.98,2220
269.23,3479
272.61,4546
276.78,4579
279.22,4438
280.35,4623
281.81,4440
283.05,4495
283.96,4483
284.53,4591
284.44,4477
283.64,4221
281.85,3672
281.38,3015
281.84,2769
282.23,2875
282.18,1931
282.49,1309
282.54,870
282.58,654
282.23,364
282.08,262
282.23,505
282.24,861
282.24,1132
282.24,1797
282.43,2685
282.43,2685
282.43,2685
282.33,3370
282.33,3370
282.82,3662
282.82,3662
283.33,4076
283.33,4076
283.33,4076
283.75,4128
283.75,4128
283.75,4128
284.09,4358
284.09,4358
284.09,4358
284.55,4342
284.55,4342
284.68,4234
284.64,4271
284.64,4271
284.4,4080
284.17,3453
284.03,2718
283.58,2439
283.04,1819
281.95,1002
281.95,1002
281.61,542
281.61,542
281.57,303
281.42,239
281.29,335
281.29,335
281.02,810
281.02,810
280.82,2606
280.82,2606
280.39,5714
280.19,6798
279.82,6114
279.75,5094
280.07,4473
280.32,4529
281.72,4823
284.01,4872
285.88,5238
286.87,5584
287.6,6246
287.27,5957
286.18,4535
285.2,3234
284.68,2677
284.49,2077
283.54,1380
282.33,927
281.21,500
279.87,324
278.93,257
277.91,354
277.21,769
276.61,2769
276.11,5789
274.81,7055
274.99,6408
277.91,5254
280.71,4547
283.85,4784
286.01,5015
286.31,5057
288.15,5430
289.15,5813
288.99,6496
288.86,6429
288.16,5142
287.28,3311
287.04,2777
286.9,2331
287.09,1767
287.09,1093
286.89,554
286.93,333
286.93,267
287.07,358
286.56,777
285.91,2732
285.29,5637
284.92,5564
285.35,6274
285.72,5403
285.72,5403
287.09,4680
288.31,4642
288.61,4979
290.32,4851
291.36,4291
292.01,4714
292.61,6723
292.65,6180
290.52,4843
288.35,3435
286.72,2921
285.49,2763
284.22,1930
283.8,1160
283.72,654
282.8,374
282.32,301
282.38,397
282.76,794
282.88,2564
284.18,5358
284.69,6441
285.0,5536
286.9,5256
288.35,4619
289.59,5107
288.27,5147
286.41,5283
285.96,5704
287.04,5887
287.18,6307
286.94,5953
286.01,4519
284.67,3427
283.44,2921
282.51,2649
281.9,2005
281.85,1177
281.28,699
280.97,436
280.44,353
280.44,353
280.02,399
279.79,720
279.79,720
279.79,720
279.79,720
279.74,2370
279.74,2370
